,mean_test_score,param_fs__k,param_fs__score_func,param_svr__C,param_svr__kernel
123,-1.9338494404409814,11,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
129,-1.9545978867646823,11,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
15,-1.9928580022183986,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
141,-2.03027201173014,12,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
135,-2.03027201173014,12,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
65,-2.032821522249157,6,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
34,-2.0972794993536112,3,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
115,-2.115056806670622,10,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
127,-2.1701182527195746,11,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
109,-2.171854658376484,10,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,poly
41,-2.1915616058413296,4,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
59,-2.199962844913399,5,<function f_regression at 0x000002C1AEAC9DA0>,10,linear
28,-2.224520983886281,3,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
53,-2.2565833731346268,5,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
139,-2.273892895214458,12,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
133,-2.273892895214458,12,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,poly
121,-2.3042031454201077,11,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,poly
31,-2.4464079678877217,3,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
36,-2.832455445510703,4,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
29,-2.856959068668714,3,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
24,-2.8678982874138814,3,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
48,-2.879960118301928,5,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
11,-2.945409735460408,1,<function f_regression at 0x000002C1AEAC9DA0>,10,linear
30,-2.95451849526997,3,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
9,-2.9578293052968436,1,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
78,-2.973368807925822,7,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
13,-2.9744986120557626,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,poly
35,-2.9961856431599463,3,<function f_regression at 0x000002C1AEAC9DA0>,10,linear
80,-2.999395915140255,7,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
47,-3.0043386045865197,4,<function f_regression at 0x000002C1AEAC9DA0>,10,linear
16,-3.0099562753023674,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
60,-3.0219607966169395,6,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
23,-3.0370434179715247,2,<function f_regression at 0x000002C1AEAC9DA0>,10,linear
50,-3.0497744519583643,5,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
66,-3.054571491137178,6,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
74,-3.066940309068033,7,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
62,-3.069595044378393,6,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
72,-3.077855094831958,7,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
86,-3.079967981228127,8,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
104,-3.081207142100255,9,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
122,-3.0856355234975936,11,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
140,-3.0878623951199,12,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
134,-3.0878623951199,12,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
92,-3.088393737718623,8,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
98,-3.0892449027544773,9,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
110,-3.093281891583102,10,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
116,-3.0960173903200383,10,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
