,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
58,-1.5338782666666662,4,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
87,-1.53570785,6,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
183,-1.5394428999999996,12,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
191,-1.5394428999999996,12,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
73,-1.5398699000000005,5,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
102,-1.5405854,7,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
129,-1.540670816666666,9,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
179,-1.5409884999999999,12,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
187,-1.5409884999999999,12,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
173,-1.5413946499999998,11,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
131,-1.5414271499999999,9,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
110,-1.5419397000000001,7,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
137,-1.542470033333333,9,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
86,-1.5439792333333338,6,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
147,-1.5517180833333337,10,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
118,-1.5521778333333336,8,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
72,-1.5546284666666665,5,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
185,-1.5549788333333334,12,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
177,-1.5549788333333334,12,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
181,-1.5579083,12,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
189,-1.5579083,12,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
145,-1.5598328500000007,10,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
182,-1.5604915666666666,12,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
190,-1.5604915666666666,12,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
128,-1.5611700000000002,9,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
112,-1.5623717666666672,8,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
175,-1.564387533333333,11,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
94,-1.564418666666667,6,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
171,-1.5648790499999998,11,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
88,-1.5660731,6,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
169,-1.5683601000000003,11,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
155,-1.570635416666667,10,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
163,-1.571410016666667,11,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
80,-1.5720236333333333,6,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
151,-1.572411633333333,10,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
136,-1.5743755666666668,9,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
126,-1.5756103333333336,8,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
67,-1.5759856833333346,5,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
134,-1.576564,9,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
142,-1.577643466666667,9,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
159,-1.5789624833333333,10,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
153,-1.580354866666667,10,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
167,-1.5830501333333333,11,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
96,-1.5831355333333337,7,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
161,-1.583237366666667,11,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
90,-1.5841040000000002,6,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
150,-1.5841370333333331,10,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
144,-1.5869857666666674,10,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
78,-1.589578033333333,5,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
71,-1.5911409166666675,5,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
120,-1.5916743666666668,8,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
114,-1.5918745333333333,8,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
74,-1.594067,5,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
176,-1.5946845999999995,12,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
184,-1.5946845999999995,12,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
146,-1.5949421333333336,10,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
