,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
90,-0.18453543333333325,6,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
84,-0.1851017499999999,6,absolute_error,50,<function f_regression at 0x000001E067DE9620>
159,-0.1852135499999999,10,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
70,-0.18529633333333323,5,poisson,50,<function f_regression at 0x000001E067DE9620>
83,-0.18541723333333326,6,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
171,-0.18589001666666655,11,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
179,-0.18656523333333327,12,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
187,-0.18656523333333327,12,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
137,-0.18688539999999987,9,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
139,-0.18837163333333323,9,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
65,-0.1888294999999999,5,squared_error,100,<function f_regression at 0x000001E067DE9620>
136,-0.1889681666666665,9,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
95,-0.18915968333333313,6,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
89,-0.1893303833333332,6,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
143,-0.18937009999999985,9,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
79,-0.18950671666666652,5,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
85,-0.19012934999999984,6,absolute_error,100,<function f_regression at 0x000001E067DE9620>
101,-0.19022074166666658,7,absolute_error,100,<function f_regression at 0x000001E067DE9620>
21,-0.1906158249999998,2,absolute_error,100,<function f_regression at 0x000001E067DE9620>
138,-0.1908741333333332,9,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
71,-0.19231356666666655,5,poisson,100,<function f_regression at 0x000001E067DE9620>
91,-0.19247211666666658,6,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
67,-0.19323706666666657,5,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
72,-0.19345723333333326,5,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
48,-0.19352966666666657,4,squared_error,50,<function f_regression at 0x000001E067DE9620>
54,-0.19466043333333316,4,poisson,50,<function f_regression at 0x000001E067DE9620>
117,-0.19501700833333327,8,absolute_error,100,<function f_regression at 0x000001E067DE9620>
142,-0.19534046666666655,9,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
73,-0.19543911666666652,5,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
124,-0.1960856333333333,8,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
74,-0.19672356666666654,5,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
100,-0.1968047166666666,7,absolute_error,50,<function f_regression at 0x000001E067DE9620>
116,-0.19695438333333323,8,absolute_error,50,<function f_regression at 0x000001E067DE9620>
133,-0.19741870833333328,9,absolute_error,100,<function f_regression at 0x000001E067DE9620>
20,-0.19759391666666656,2,absolute_error,50,<function f_regression at 0x000001E067DE9620>
148,-0.1988667166666666,10,absolute_error,50,<function f_regression at 0x000001E067DE9620>
50,-0.19896006666666657,4,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
68,-0.19934774999999988,5,absolute_error,50,<function f_regression at 0x000001E067DE9620>
188,-0.19966309999999987,12,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
180,-0.19966309999999987,12,absolute_error,50,<function f_regression at 0x000001E067DE9620>
75,-0.2000286333333332,5,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
55,-0.2006495666666665,4,poisson,100,<function f_regression at 0x000001E067DE9620>
108,-0.20098733333333327,7,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
49,-0.2010175999999999,4,squared_error,100,<function f_regression at 0x000001E067DE9620>
140,-0.20204666666666657,9,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
69,-0.20232480833333324,5,absolute_error,100,<function f_regression at 0x000001E067DE9620>
132,-0.20357054999999993,9,absolute_error,50,<function f_regression at 0x000001E067DE9620>
164,-0.20368893333333324,11,absolute_error,50,<function f_regression at 0x000001E067DE9620>
181,-0.20373379999999996,12,absolute_error,100,<function f_regression at 0x000001E067DE9620>
189,-0.20373379999999996,12,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
23,-0.20397506666666643,2,poisson,100,<function f_regression at 0x000001E067DE9620>
51,-0.20547273333333327,4,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
