,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
94,-0.14766333333333334,friedman_mse,best,12,<function f_regression at 0x000001E067DE9620>
38,-0.14798999999999998,squared_error,best,8,<function f_regression at 0x000001E067DE9620>
137,-0.14883166666666664,absolute_error,best,9,<function mutual_info_regression at 0x000001E067DC34C0>
68,-0.14911666666666668,friedman_mse,random,11,<function f_regression at 0x000001E067DE9620>
6,-0.14953333333333332,squared_error,random,4,<function f_regression at 0x000001E067DE9620>
89,-0.15027666666666667,friedman_mse,best,9,<function mutual_info_regression at 0x000001E067DC34C0>
82,-0.15040499999999998,friedman_mse,best,6,<function f_regression at 0x000001E067DE9620>
20,-0.15077000000000002,squared_error,random,11,<function f_regression at 0x000001E067DE9620>
185,-0.151015,poisson,best,9,<function mutual_info_regression at 0x000001E067DC34C0>
63,-0.15130833333333332,friedman_mse,random,8,<function mutual_info_regression at 0x000001E067DC34C0>
112,-0.151425,absolute_error,random,9,<function f_regression at 0x000001E067DE9620>
186,-0.1518133333333333,poisson,best,10,<function f_regression at 0x000001E067DE9620>
165,-0.151845,poisson,random,11,<function mutual_info_regression at 0x000001E067DC34C0>
124,-0.15194,absolute_error,best,3,<function f_regression at 0x000001E067DE9620>
86,-0.1519783333333333,friedman_mse,best,8,<function f_regression at 0x000001E067DE9620>
117,-0.15211666666666668,absolute_error,random,11,<function mutual_info_regression at 0x000001E067DC34C0>
54,-0.152185,friedman_mse,random,4,<function f_regression at 0x000001E067DE9620>
12,-0.1525716666666667,squared_error,random,7,<function f_regression at 0x000001E067DE9620>
40,-0.15260999999999997,squared_error,best,9,<function f_regression at 0x000001E067DE9620>
46,-0.15272666666666665,squared_error,best,12,<function f_regression at 0x000001E067DE9620>
47,-0.15272666666666665,squared_error,best,12,<function mutual_info_regression at 0x000001E067DC34C0>
60,-0.15312833333333334,friedman_mse,random,7,<function f_regression at 0x000001E067DE9620>
107,-0.153885,absolute_error,random,6,<function mutual_info_regression at 0x000001E067DC34C0>
42,-0.15478999999999998,squared_error,best,10,<function f_regression at 0x000001E067DE9620>
156,-0.15503666666666666,poisson,random,7,<function f_regression at 0x000001E067DE9620>
56,-0.15582833333333332,friedman_mse,random,5,<function f_regression at 0x000001E067DE9620>
102,-0.15602666666666665,absolute_error,random,4,<function f_regression at 0x000001E067DE9620>
155,-0.15645499999999996,poisson,random,6,<function mutual_info_regression at 0x000001E067DC34C0>
8,-0.15684166666666666,squared_error,random,5,<function f_regression at 0x000001E067DE9620>
157,-0.15748666666666664,poisson,random,7,<function mutual_info_regression at 0x000001E067DC34C0>
90,-0.1574883333333333,friedman_mse,best,10,<function f_regression at 0x000001E067DE9620>
