,SVR,KNN,DTR,RF,LNR
mean absolute error,0.3479676761130791,0.6046023337544686,0.8489249999999999,1.241171624999998,1.011896136017297
mean squared error,0.2632183406372763,0.5893689809564513,1.1149788637499998,4.3954802808108955,1.3156678371633566
