,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
87,-1.7468043073977833,6,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
125,-1.7536451529430592,8,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
26,-1.7622866666666668,2,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
42,-1.767005,3,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
123,-1.797669907635255,8,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
129,-1.8060372177943225,9,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
137,-1.815488346675373,9,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
40,-1.8254305555555557,3,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
96,-1.8345522222222221,7,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
80,-1.8691866666666666,6,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
120,-1.8706488888888888,8,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
115,-1.875319913419835,8,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
17,-1.906193735649207,2,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
19,-1.9186641038303756,2,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
24,-1.929421111111111,2,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
131,-1.94943015088101,9,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
127,-1.9541138603658648,8,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
98,-1.957886111111111,7,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
139,-1.9614323959299518,9,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
21,-1.9645457812964284,2,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
23,-1.97606138129922,2,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
82,-1.9836727777777778,6,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
117,-1.9916827373610873,8,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
141,-1.996361998773502,9,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
145,-1.9994013894125806,10,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
133,-2.007782929108208,9,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
54,-2.021217,4,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
153,-2.022280460972535,10,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
119,-2.03149989530679,8,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
16,-2.0802122222222224,2,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
38,-2.092072,3,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
36,-2.1208493333333336,3,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
60,-2.1259993333333336,4,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
18,-2.1289188888888892,2,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
70,-2.130457333333333,5,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
68,-2.1417349999999997,5,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
143,-2.14658310679576,9,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
