,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
120,-0.21180499999999997,6,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
199,-0.21248137554309193,9,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
43,-0.21319836262867167,2,5,2,distance,<function f_regression at 0x000001E067DE9620>
110,-0.21336944444444442,5,3,2,uniform,<function f_regression at 0x000001E067DE9620>
143,-0.2147494642436624,6,7,2,distance,<function f_regression at 0x000001E067DE9620>
129,-0.21542309841099722,6,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
253,-0.2159015812753311,11,3,1,distance,<function f_regression at 0x000001E067DE9620>
108,-0.21639666666666665,5,3,1,uniform,<function f_regression at 0x000001E067DE9620>
119,-0.21780172847690116,5,7,2,distance,<function f_regression at 0x000001E067DE9620>
205,-0.21904088189587392,9,3,1,distance,<function f_regression at 0x000001E067DE9620>
45,-0.22127193643768206,2,7,1,distance,<function f_regression at 0x000001E067DE9620>
179,-0.22139231509785776,8,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
241,-0.22159440724399587,11,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
95,-0.2219166597789079,4,7,2,distance,<function f_regression at 0x000001E067DE9620>
107,-0.22195606118032335,5,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
155,-0.22342614428397903,7,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
59,-0.2248624578741086,3,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
79,-0.22807762667260648,4,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
15,-0.22817821206752678,1,3,2,distance,<function f_regression at 0x000001E067DE9620>
13,-0.22817821206752678,1,3,1,distance,<function f_regression at 0x000001E067DE9620>
69,-0.22819567112583186,3,7,1,distance,<function f_regression at 0x000001E067DE9620>
71,-0.22820081294610128,3,7,2,distance,<function f_regression at 0x000001E067DE9620>
131,-0.22873061184763105,6,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
55,-0.22948588381986243,3,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
156,-0.23084444444444446,7,3,1,uniform,<function f_regression at 0x000001E067DE9620>
77,-0.231413240521373,4,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
47,-0.23309257966728358,2,7,2,distance,<function f_regression at 0x000001E067DE9620>
183,-0.2335576835356148,8,3,2,distance,<function f_regression at 0x000001E067DE9620>
57,-0.23602802701316178,3,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
265,-0.23636433059803572,12,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
277,-0.23636433059803572,12,3,1,distance,<function f_regression at 0x000001E067DE9620>
201,-0.24020455562409393,9,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
53,-0.24208091245173619,3,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
194,-0.24213777777777784,9,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
81,-0.24367659564671165,4,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
159,-0.2437391735039348,7,3,2,distance,<function f_regression at 0x000001E067DE9620>
96,-0.24451666666666663,5,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
221,-0.24475182761602818,10,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
180,-0.24575444444444444,8,3,1,uniform,<function f_regression at 0x000001E067DE9620>
83,-0.24677456103865336,4,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
161,-0.24844802889943396,7,5,1,distance,<function f_regression at 0x000001E067DE9620>
228,-0.25247833333333336,10,3,1,uniform,<function f_regression at 0x000001E067DE9620>
203,-0.2535100356769112,9,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
252,-0.2596494444444445,11,3,1,uniform,<function f_regression at 0x000001E067DE9620>
19,-0.26004368958420454,1,5,2,distance,<function f_regression at 0x000001E067DE9620>
17,-0.26004368958420454,1,5,1,distance,<function f_regression at 0x000001E067DE9620>
84,-0.2602116666666667,4,3,1,uniform,<function f_regression at 0x000001E067DE9620>
185,-0.262273469214814,8,5,1,distance,<function f_regression at 0x000001E067DE9620>
38,-0.26266388888888886,2,3,2,uniform,<function f_regression at 0x000001E067DE9620>
36,-0.2652616666666666,2,3,1,uniform,<function f_regression at 0x000001E067DE9620>
204,-0.2663472222222222,9,3,1,uniform,<function f_regression at 0x000001E067DE9620>
207,-0.26832027057941976,9,3,2,distance,<function f_regression at 0x000001E067DE9620>
231,-0.27170298117601605,10,3,2,distance,<function f_regression at 0x000001E067DE9620>
98,-0.2721711111111111,5,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
276,-0.27349999999999997,12,3,1,uniform,<function f_regression at 0x000001E067DE9620>
