,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
118,-1.64696,absolute_error,random,12,<function f_regression at 0x000002C1AEAC9DA0>
134,-1.6489500000000004,absolute_error,best,8,<function f_regression at 0x000002C1AEAC9DA0>
6,-1.6499616666666665,squared_error,random,4,<function f_regression at 0x000002C1AEAC9DA0>
67,-1.6518316666666668,friedman_mse,random,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
38,-1.6518383333333333,squared_error,best,8,<function f_regression at 0x000002C1AEAC9DA0>
20,-1.6519650000000001,squared_error,random,11,<function f_regression at 0x000002C1AEAC9DA0>
58,-1.6547183333333333,friedman_mse,random,6,<function f_regression at 0x000002C1AEAC9DA0>
41,-1.6555783333333334,squared_error,best,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
127,-1.6580133333333336,absolute_error,best,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
162,-1.6616216666666666,poisson,random,10,<function f_regression at 0x000002C1AEAC9DA0>
85,-1.6664966666666667,friedman_mse,best,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
62,-1.6721216666666667,friedman_mse,random,8,<function f_regression at 0x000002C1AEAC9DA0>
109,-1.676225,absolute_error,random,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
34,-1.679671666666667,squared_error,best,6,<function f_regression at 0x000002C1AEAC9DA0>
14,-1.6810883333333333,squared_error,random,8,<function f_regression at 0x000002C1AEAC9DA0>
133,-1.6879133333333336,absolute_error,best,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
90,-1.693396666666667,friedman_mse,best,10,<function f_regression at 0x000002C1AEAC9DA0>
89,-1.6982483333333334,friedman_mse,best,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
87,-1.7013649999999998,friedman_mse,best,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
163,-1.703115,poisson,random,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
129,-1.706025,absolute_error,best,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
39,-1.7073816666666666,squared_error,best,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
91,-1.711651666666667,friedman_mse,best,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
132,-1.7159166666666668,absolute_error,best,7,<function f_regression at 0x000002C1AEAC9DA0>
128,-1.7161983333333333,absolute_error,best,5,<function f_regression at 0x000002C1AEAC9DA0>
150,-1.71665,poisson,random,4,<function f_regression at 0x000002C1AEAC9DA0>
95,-1.71736,friedman_mse,best,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
94,-1.71736,friedman_mse,best,12,<function f_regression at 0x000002C1AEAC9DA0>
86,-1.7217933333333335,friedman_mse,best,8,<function f_regression at 0x000002C1AEAC9DA0>
125,-1.7222650000000002,absolute_error,best,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
82,-1.7286666666666668,friedman_mse,best,6,<function f_regression at 0x000002C1AEAC9DA0>
10,-1.7325716666666664,squared_error,random,6,<function f_regression at 0x000002C1AEAC9DA0>
174,-1.7341966666666668,poisson,best,4,<function f_regression at 0x000002C1AEAC9DA0>
